iter	Passed	Remaining
337	7136	35091
338	7159	35078
339	7182	35066
340	7197	35017
341	7222	35012
342	7241	34984
343	7276	35027
344	7301	35024
345	7319	34989
346	7343	34981
347	7368	34979
348	7380	34916
349	7406	34916
350	7428	34896
351	7459	34922
352	7477	34886
353	7495	34850
354	7519	34845
355	7538	34811
356	7557	34779
357	7568	34713
358	7578	34643
359	7593	34593
360	7611	34558
361	7641	34577
362	7665	34570
363	7690	34564
364	7712	34547
365	7725	34492
366	7749	34482
367	7772	34470
368	7797	34465
369	7819	34447
370	7841	34430
371	7865	34420
372	7882	34384
373	7899	34345
374	7915	34300
375	7935	34276
376	7961	34272
377	7991	34291
378	8020	34304
379	8043	34290
380	8061	34254
381	8078	34216
382	8099	34193
383	8122	34180
384	8145	34166
385	8165	34143
386	8190	34136
387	8207	34100
388	8224	34059
389	8246	34042
390	8270	34032
391	8293	34019
392	8305	33961
393	8317	33902
394	8337	33876
395	8356	33848
396	8372	33807
397	8385	33753
398	8404	33723
399	8425	33701
400	8447	33684
401	8463	33643
402	8477	33593
403	8495	33563
404	8516	33539
405	8537	33518
406	8560	33506
407	8584	33497
408	8607	33481
409	8629	33467
410	8652	33450
411	8681	33462
412	8703	33444
413	8720	33405
414	8735	33362
415	8748	33310
416	8763	33268
417	8777	33220
418	8799	33204
419	8817	33171
420	8834	33136
421	8855	33115
422	8874	33084
423	8891	33049
424	8912	33029
425	8936	33020
426	8960	33010
427	8986	33005
428	9010	32996
429	9036	32995
430	9069	33015
431	9093	33006
432	9119	33001
433	9144	32995
434	9162	32965
435	9181	32934
436	9205	32925
437	9234	32933
438	9269	32959
439	9284	32919
440	9309	32910
441	9335	32908
442	9366	32919
443	9388	32902
444	9405	32867
445	9426	32843
446	9458	32860
447	9480	32844
448	9498	32810
449	9522	32800
450	9546	32789
451	9571	32779
452	9596	32771
453	9625	32776
454	9653	32780
455	9677	32767
456	9700	32753
457	9725	32744
458	9749	32731
459	9774	32722
460	9796	32705
461	9815	32674
462	9840	32668
463	9864	32653
464	9886	32637
465	9902	32597
466	9915	32550
467	9927	32499
468	9945	32466
469	9965	32439
470	9983	32410
471	10008	32399
472	10029	32378
473	10054	32368
474	10071	32334
475	10092	32313
476	10107	32271
477	10117	32215
478	10130	32169
479	10147	32135
480	10162	32094
481	10184	32074
482	10204	32051
483	10222	32018
484	10246	32005
485	10269	31992
486	10287	31959
487	10307	31935
488	10324	31901
489	10343	31875
490	10368	31867
491	10391	31849
492	10415	31838
493	10430	31798
494	10445	31759
495	10461	31722
496	10480	31693
497	10499	31667
498	10523	31654
499	10551	31653
500	10578	31649
501	10603	31642
502	10629	31634
503	10653	31622
504	10677	31608
505	10694	31576
506	10713	31547
507	10730	31514
508	10740	31460
509	10753	31416
510	10774	31394
511	10789	31356
512	10808	31329
513	10822	31288
514	10836	31246
515	10850	31206
516	10866	31171
517	10884	31140
518	10898	31099
519	10911	31055
520	10933	31037
521	10955	31019
522	10979	31006
523	11003	30994
524	11020	30963
525	11043	30948
526	11066	30932
527	11089	30915
528	11107	30885
529	11127	30862
530	11156	30864
531	11182	30855
532	11206	30844
533	11231	30833
534	11253	30815
535	11276	30801
536	11305	30801
537	11337	30810
538	11364	30805
539	11388	30791
540	11407	30765
541	11425	30735
