iter	MAE
151	10.18201378
152	10.13031707
153	10.02623696
154	9.985601026
155	9.924477534
156	9.910339741
157	9.848388189
158	9.812476165
159	9.757266692
160	9.698094094
161	9.644412354
162	9.63183659
163	9.565365395
164	9.507561231
165	9.465969039
166	9.389331999
167	9.331464494
168	9.264813196
169	9.180750703
170	9.135460201
171	9.050871904
172	8.983984296
173	8.914390213
174	8.830865265
175	8.765875039
176	8.756581527
177	8.747380951
178	8.699519733
179	8.682243013
180	8.611554694
181	8.54792915
182	8.475466032
183	8.417252427
184	8.366381356
185	8.296758984
186	8.221429265
187	8.193348201
188	8.144225641
189	8.082709725
190	8.020212451
191	7.943278794
192	7.892641991
193	7.877684217
194	7.796314271
195	7.778295683
196	7.716024408
197	7.689773014
198	7.620615945
199	7.606677214
200	7.545178288
201	7.531516938
202	7.463450716
203	7.390056991
204	7.319072253
205	7.295487081
206	7.246252541
207	7.185206256
208	7.134143469
209	7.110812033
210	7.0706383
211	7.032893595
212	7.005847757
213	6.960540699
214	6.94851975
215	6.925370577
216	6.886834814
217	6.86520666
218	6.823092546
219	6.797007976
220	6.766916598
221	6.737705828
222	6.668603258
223	6.668411956
224	6.614398552
225	6.566481805
226	6.54847144
227	6.518369664
228	6.457126625
229	6.415825629
230	6.351667366
231	6.325622442
232	6.278493435
233	6.240176328
234	6.230355927
235	6.173336256
236	6.140377396
237	6.099410828
238	6.09552612
239	6.044040593
240	6.013521996
241	5.958071336
242	5.901068217
243	5.868601236
244	5.858701627
245	5.815893973
246	5.772681566
247	5.745173396
248	5.70741928
249	5.670042703
250	5.637271274
251	5.621830627
252	5.596296203
253	5.569055555
254	5.542344265
255	5.493996502
256	5.449846989
257	5.418405526
258	5.383834031
259	5.367914047
260	5.33980929
261	5.316083802
262	5.277612254
263	5.240030027
264	5.202823623
265	5.194647353
266	5.166793752
267	5.137627413
268	5.100795394
269	5.064478871
270	5.037811347
271	5.029672607
272	4.995516122
273	4.962659999
274	4.956243492
275	4.930954671
276	4.912232013
277	4.901275636
278	4.855902
279	4.809427981
280	4.77563984
281	4.745842732
282	4.714966033
283	4.684367555
284	4.65227163
285	4.638714666
286	4.615090706
287	4.591532448
288	4.569462348
289	4.529881897
290	4.500982029
291	4.496551432
292	4.458580136
293	4.418372518
294	4.390153103
295	4.343632924
296	4.328206947
297	4.321319457
298	4.316769729
299	4.284795842
300	4.26316772
301	4.234562599
302	4.213699647
303	4.187720495
304	4.182123029
305	4.16328128
306	4.158988557
307	4.131639769
308	4.123438059
309	4.116161755
310	4.086271422
311	4.060735094
312	4.047563462
313	4.012734628
314	3.993756927
315	3.974065354
316	3.951068334
317	3.916673635
318	3.889908903
319	3.883033388
320	3.859156516
321	3.834288124
322	3.825265227
323	3.801063667
324	3.793669148
325	3.77120076
326	3.751114313
327	3.735358346
328	3.725517403
329	3.709357385
330	3.680669514
331	3.650222448
332	3.624202181
333	3.602238424
334	3.584436173
335	3.569989069
336	3.554530268
337	3.532056351
338	3.505344123
339	3.484215318
340	3.459308892
341	3.439570353
342	3.422042523
343	3.401501678
344	3.390583234
345	3.371533962
346	3.341301787
347	3.313052349
348	3.308597816
349	3.300031568
350	3.279450225
351	3.268005
352	3.248820252
353	3.242029793
354	3.21456756
355	3.196750552
356	3.189871786
357	3.181452354
358	3.166844831
359	3.148317964
360	3.134159456
361	3.123964234
362	3.097639615
363	3.092627828
364	3.070984304
365	3.065189689
366	3.055023048
367	3.04795252
368	3.04115506
369	3.024457174
370	3.007718476
371	2.993778036
372	2.981375617
373	2.976439754
374	2.967463785
375	2.951372941
376	2.94234137
377	2.91291795
378	2.897305021
379	2.871994601
380	2.866613715
381	2.861286638
382	2.837810462
383	2.811419006
384	2.788767949
385	2.783584024
386	2.774218077
387	2.75923662
388	2.744404975
389	2.738890148
390	2.723326228
391	2.717424125
392	2.702158626
393	2.686366274
394	2.671404558
395	2.659990343
396	2.648514817
397	2.634736288
398	2.612777734
399	2.605005213
400	2.596149711
401	2.581342131
402	2.573311427
403	2.552926598
404	2.54535569
405	2.537557295
406	2.523904835
407	2.510388901
408	2.503118042
409	2.496746038
410	2.474077
411	2.461657823
412	2.454789214
413	2.442617178
414	2.428265265
415	2.409312769
416	2.402784173
417	2.396592949
418	2.384269296
419	2.372641102
420	2.361129189
421	2.349732395
422	2.33844957
423	2.332903921
424	2.321761921
425	2.317689428
426	2.30668233
427	2.301537155
428	2.290664922
429	2.27990141
430	2.274953749
431	2.264319291
432	2.261145621
433	2.257444815
434	2.253201392
435	2.242663582
436	2.23184225
437	2.222369233
438	2.21227373
439	2.207038854
440	2.195133691
441	2.18526929
442	2.181147155
443	2.175327528
444	2.172686339
445	2.167813201
446	2.162026595
447	2.152475626
448	2.143020165
449	2.124941853
450	2.115585114
451	2.10447172
452	2.09530118
453	2.091812671
454	2.082737837
455	2.078433815
456	2.074907772
457	2.071742338
458	2.06813001
459	2.064693434
460	2.063817846
461	2.059880925
462	2.056707256
463	2.052677285
464	2.047928759
465	2.040437589
466	2.036683047
467	2.033779938
468	2.029652105
469	2.026814656
470	2.023954618
471	2.014762767
472	2.011962304
473	2.009189845
474	2.00644511
475	2.002421187
476	1.999304292
477	1.996167301
478	1.993316953
479	1.990633038
480	1.988456032
481	1.985804421
482	1.982808373
483	1.979959669
484	1.97613232
485	1.974049472
486	1.971124712
487	1.954959148
488	1.952400177
489	1.949866795
490	1.946184492
491	1.943701525
492	1.941243387
493	1.938809831
494	1.937146877
495	1.934743023
496	1.932313552
497	1.91682542
498	1.914447191
499	1.912092745
500	1.909761843
501	1.906829529
502	1.891579771
503	1.889282153
504	1.887007511
505	1.870613278
506	1.867732298
507	1.865499132
508	1.86315915
509	1.848300305
510	1.846090395
511	1.843902584
512	1.841945676
513	1.839784236
514	1.83647013
515	1.833862038
516	1.83172754
517	1.829614386
518	1.827522364
519	1.825260394
520	1.811068625
521	1.808641668
522	1.806755846
523	1.80471037
524	1.802485017
525	1.800465206
526	1.798120632
527	1.796141015
528	1.794496004
529	1.792517073
530	1.790562113
531	1.787338118
532	1.785422763
533	1.783526561
534	1.781649321
535	1.779790854
536	1.777950971
537	1.776129487
538	1.761568151
539	1.758778133
540	1.756985496
541	1.755210785
